"id";"digit_code";"symbol_code";"unity";"currency";"rate";"rate_date"
7;348;HUF;100;Венгерских форинтов;22.7;2021-10-22
8;410;KRW;1000;Вон Республики Корея;60.3;2021-10-22
9;344;HKD;10;Гонконгских долларов;91.3;2021-10-22
10;208;DKK;1;Датская крона;11.1;2021-10-22
11;840;USD;1;Доллар США;71;2021-10-22
12;978;EUR;1;Евро;82.6;2021-10-22
13;356;INR;100;Индийских рупий;94.8;2021-10-22
14;398;KZT;100;Казахстанских тенге;16.7;2021-10-22
15;124;CAD;1;Канадский доллар;57.5;2021-10-22
16;417;KGS;100;Киргизских сомов;83.7;2021-10-22
17;156;CNY;1;Китайский юань;11.1;2021-10-22
18;498;MDL;10;Молдавских леев;40.7;2021-10-22
19;934;TMT;1;Новый туркменский манат;20.3;2021-10-22
20;578;NOK;10;Норвежских крон;85;2021-10-22
21;985;PLN;1;Польский злотый;18;2021-10-22
22;946;RON;1;Румынский лей;16.7;2021-10-22
23;960;XDR;1;СДР (специальные права заимствования);100.4;2021-10-22
24;702;SGD;1;Сингапурский доллар;52.8;2021-10-22
25;972;TJS;10;Таджикских сомони;62.9;2021-10-22
26;949;TRY;10;Турецких лир;76.7;2021-10-22
27;860;UZS;10000;Узбекских сумов;66.5;2021-10-22
28;980;UAH;10;Украинских гривен;27.1;2021-10-22
29;826;GBP;1;Фунт стерлингов Соединенного королевства;98;2021-10-22
30;203;CZK;10;Чешских крон;32.2;2021-10-22
31;752;SEK;10;Шведских крон;82.6;2021-10-22
32;756;CHF;1;Швейцарский франк;77.1;2021-10-22
33;710;ZAR;10;Южноафриканских рэндов;49;2021-10-22
34;392;JPY;100;Японских иен;62.2;2021-10-22
1;36;AUD;1;Австралийский доллар;53.1;2021-10-22
2;944;AZN;1;Азербайджанский манат;41.8;2021-10-22
3;51;AMD;100;Армянских драмов;14.9;2021-10-22
4;933;BYN;1;Белорусский рубль;29.2;2021-10-22
5;975;BGN;1;Болгарский лев;42.2;2021-10-22
6;986;BRL;1;Бразильский реал;12.7;2021-10-22
